dataset,method,n_stacks,failure_count,absolute_peak_localization_error_mean,absolute_peak_localization_error_std,fwhm_mean,fwhm_std,curvature_at_peak_mean,curvature_at_peak_std,steep_slope_width_mean,steep_slope_width_std,steep_to_gradual_slope_ratio_mean,steep_to_gradual_slope_ratio_std,false_maxima_count_mean,false_maxima_count_std,noise_level_mean,noise_level_std,rrmse_under_additive_noise_mean,rrmse_under_additive_noise_std,range_around_global_maximum_mean,range_around_global_maximum_std,execution_time_per_slice_mean,execution_time_per_slice_std
TBF,best_fixed_single,182,0,6.071428571428571,1.6071123318224403,13.027472527472527,1.3963504971115677,0.3029668512423554,0.32528648303803315,4.752747252747253,2.1786597684513014,1.0241310448520642,0.8420888394806774,1.4175824175824177,0.6557595053993711,0.12245806228522567,0.0692058253004876,0.01788299758750739,0.0054716008861417425,1.6813186813186813,1.0258110795705462,0.15859113270972433,0.009838037518765035
TBF,conventional_clahe_unsharp,182,0,4.8076923076923075,1.9503017951431596,11.016483516483516,4.078185432953297,0.8062790546220998,0.5187859410091328,3.2967032967032965,1.554818850934057,2.282809863663605,1.6392633380449073,2.923076923076923,0.8736782070461959,0.3389045074603099,0.18250649486386608,0.10089363115070762,0.06522784743573486,1.065934065934066,0.2693989158710168,0.22953237024342582,0.01329082739646254
TBF,generalized_gp_workflow,182,0,4.923076923076923,1.0401898519735588,9.131868131868131,4.090215586378102,0.5171055607108952,0.3333527264466829,4.5,1.793608922544981,1.4603209680268638,0.9563945729345377,2.769230769230769,0.8965982485333299,0.20454384475504758,0.11726665893097846,0.0024961702051273446,0.0010973421744529905,1.2032967032967032,0.47739000791749026,0.2429155002955239,0.019096043477714295
TBF,identity,182,0,5.6208791208791204,1.2466232617823276,9.714285714285714,4.930919969188627,0.6294754587693467,0.5003898421759911,3.6923076923076925,1.6686660309684085,2.8875714481989476,2.208032485673324,2.4945054945054945,0.9361321684372337,0.1980820057507689,0.10877686256314001,0.2990604664097728,0.1437182546259959,1.1318681318681318,0.3694007981092662,0.17151445372304636,0.013178099864037129
TBF,oracle_single_exploratory,182,0,5.5989010989010985,0.936793045447495,6.0989010989010985,5.066708720062249,0.7111977448566309,0.48782130447039757,4.170329670329671,1.7536771104741575,3.080918800157436,2.1904602390530594,2.7472527472527473,0.8528350470269779,0.18477716519811807,0.11287890671659921,0.1552373948635821,0.11816783342998409,1.0769230769230769,0.26646935501059654,0.1562594006478047,0.00810980125378853
TBI,best_fixed_single,30,0,1.5666666666666667,1.0546194679704248,7.833333333333333,2.3955978145107935,0.914455469462913,0.35526793264268614,3.533333333333333,1.1175369742826808,1.5832362237671826,0.7234598491045443,1.5666666666666667,0.7156970184527962,0.534510983338992,0.29840047590170016,0.0015969324703937568,0.0010606824215791655,1.0,0.0,0.07824125010636636,0.0037972773742938966
TBI,conventional_clahe_unsharp,30,0,1.3666666666666667,1.1100550536897809,5.566666666666666,2.36196716507425,0.6857372089583958,0.43886733039867076,3.933333333333333,1.6719914938645934,1.7910620444424004,1.3971982559157456,1.6333333333333333,0.7063206700139031,0.29135981104332803,0.23019000176116355,0.00234954075894918,0.0019783615868949715,1.2333333333333334,0.6155395104206461,0.1328338963340502,0.005707785487339849
TBI,generalized_gp_workflow,30,0,0.8333333333333334,0.4533823502911814,5.033333333333333,1.2512216252748973,0.4115175793979216,0.22833341863842738,7.333333333333333,1.9720265943665385,1.0212764291757286,0.554797973646727,0.5,0.6191391873668903,0.07960627634343122,0.11116726315186624,0.0037564477954135883,0.003373143974231813,1.2666666666666666,0.5120763831912405,0.1653896720501749,0.0070826607232551035
TBI,identity,30,0,3.3666666666666667,1.168569876197207,10.0,0.0,0.11286063929054917,0.115393275446704,4.233333333333333,1.5205992970609392,0.2878502460145276,0.20655284669283352,0.8666666666666667,0.805536398239638,0.32070962641072204,0.12654715710588757,0.6939138841812997,0.17489158074603758,2.2,1.1372481406154653,0.058214176399633284,0.004435413759902931
TBI,oracle_single_exploratory,30,0,1.5666666666666667,1.0546194679704248,7.833333333333333,2.3955978145107935,0.914455469462913,0.35526793264268614,3.533333333333333,1.1175369742826808,1.5832362237671826,0.7234598491045443,1.5666666666666667,0.7156970184527962,0.534510983338992,0.29840047590170016,0.0015969324703937568,0.0010606824215791655,1.0,0.0,0.07941254045736666,0.005402412364123059
WBC,best_fixed_single,25773,0,2.1365770379854885,1.3397864369632155,7.351918674581927,1.8806603808317395,0.28700541516997186,0.3290057547700098,4.586582858029721,2.033877135978634,0.8330095001357164,0.8931578010207931,1.1636208435184108,0.7606258081502147,0.18479184624805367,0.16055693350634453,0.020116822661004456,0.019841350685617973,1.556473829201102,0.8046987959225185,0.00227594526726952,0.00017730247011144988
WBC,conventional_clahe_unsharp,25773,0,3.827493888953556,1.0546145839242655,7.013463702324137,3.421843146401853,0.036170180688394636,0.19775636222177334,4.070228533736857,0.9612216250844668,1.3994046427923739,0.7263079720072015,0.9383075311372366,0.5595666608043784,0.0778113705481453,0.07870070361419099,0.029145635090096322,0.022447520719234643,1.0101656772591472,0.1092005055819688,0.0025843981429316404,0.0001830976253504576
WBC,generalized_gp_workflow,25773,0,4.0006984053078805,1.1179253152098363,8.025142591083693,3.0195222714909757,0.030925081780781138,0.1688670860723559,4.531835641950879,0.9535669406012115,1.1275189259182559,0.5798389363671138,0.6125790556008226,0.531205324826378,0.05516480809871092,0.06110352452599945,0.025788018524282016,0.011574125606059669,1.0381794901641253,0.23193522035930378,0.0027110975666838856,0.0003463238538211318
WBC,identity,25773,0,4.695689287238583,1.2338475043465298,9.397974624607148,1.7312887055098918,0.11673717482786278,0.23870423237755953,4.513638303651108,1.4347843543521919,0.8211216633417753,0.623385364610531,0.33977418228378536,0.4879965085072312,0.05589155535138511,0.05645154042800643,0.13502188233657691,0.07057931825366726,1.2382338105769604,0.5354482811584881,0.002203524146446637,0.00018308077825833426
WBC,oracle_single_exploratory,25773,0,4.0006984053078805,1.1179253152098363,8.025142591083693,3.0195222714909757,0.030925081780781138,0.1688670860723559,4.531835641950879,0.9535669406012115,1.1275189259182559,0.5798389363671138,0.6125790556008226,0.531205324826378,0.05516480809871092,0.06110352452599945,0.025788018524282016,0.011574125606059669,1.0381794901641253,0.23193522035930378,0.002226301850371438,0.00017620118878875163
